Name,Overall,Pace,Shooting,Passing,Dribbling,Defense,Physical
Cristiano Ronaldo,99,98,99,94,98,50,95
Lionel Messi,98,96,97,98,99,45,81
Pelé,98,95,96,93,96,60,76
Cristiano Ronaldo,97,93,97,89,94,37,86
Sergio Ramos,97,86,79,88,89,98,96
Diego Maradona,97,92,93,92,97,40,76
Lionel Messi,96,93,94,91,99,31,69
Cristiano Ronaldo,96,92,96,86,93,36,84
Leonardo Bonucci,96,80,72,92,80,97,96
Luka Modrić,96,80,86,99,96,85,83
Kevin De Bruyne,96,85,96,98,96,58,90
Harry Kane,96,86,99,93,95,58,96
Ronaldo,96,97,95,81,95,45,76
Cristiano Ronaldo,95,91,94,85,91,34,83
Luis Suárez,95,85,95,86,91,48,85
Neymar,95,95,90,85,98,33,68
N'Golo Kanté,95,90,87,93,93,93,94
Lionel Messi,95,92,93,90,98,29,65
Cristiano Ronaldo,95,91,95,84,92,34,82
Neymar,95,95,90,85,98,33,68
Pelé,95,96,93,90,95,56,75
Diego Maradona,95,88,91,90,95,42,75
Kevin De Bruyne,94,80,91,94,93,52,81
Sergio Agüero,94,92,95,86,95,31,83
Eden Hazard,94,93,90,91,96,35,75
Marcelo,94,90,79,94,95,92,91
Luis Suárez,94,84,94,83,90,45,84
Neymar,94,94,88,83,97,32,66
Lionel Messi,94,91,92,89,97,27,62
Lionel Messi,94,90,92,88,97,27,63
Paolo Maldini,94,86,56,75,69,96,83
Ronaldinho,94,92,90,91,95,37,81
Ronaldo,94,93,93,80,93,46,80
Cristiano Ronaldo,94,90,93,82,90,33,80
Mohamed Salah,93,99,93,91,96,60,84
Paulo Dybala,93,90,93,91,95,32,76
Robert Lewandowski,93,83,92,79,89,41,85
Gonzalo Higuaín,93,84,92,75,88,28,80
Gonzalo Higuaín,93,84,92,75,88,28,80
Sergio Agüero,93,91,94,84,93,29,81
Dani Alves,93,93,82,93,91,88,80
Harry Kane,93,80,96,84,89,48,90
Luis Suárez,93,83,92,81,89,43,83
Eden Hazard,93,92,88,89,95,34,72
Kevin De Bruyne,93,78,89,93,91,51,79
Neymar,93,93,86,81,96,31,63
Lothar Matthäus,93,89,89,90,82,90,85
Marco van Basten,93,83,94,76,89,39,75
Ruud Gullit,93,86,91,91,89,82,90
Thierry Henry,93,94,91,83,90,53,80
Lionel Messi,93,89,90,86,95,26,61
Christian Eriksen,92,80,89,94,91,53,70
Antoine Griezmann,92,90,91,86,92,36,77
Toni Kroos,92,52,86,92,85,75,72
Kaká,92,85,91,89,95,32,73
Eden Hazard,92,93,87,89,95,36,70
Paulo Dybala,92,89,92,89,94,30,73
Mohamed Salah,92,98,92,89,95,58,82
Gonzalo Higuaín,92,82,91,72,87,27,78
Sergio Agüero,92,90,93,82,92,27,79
David Silva,92,73,80,93,93,43,68
Edinson Cavani,92,83,91,81,87,48,86
Eden Hazard,92,91,86,87,94,33,70
Robert Lewandowski,92,82,90,77,88,39,84
Kevin De Bruyne,92,77,87,92,89,50,78
Paolo Maldini,92,82,56,74,68,95,81
Dennis Bergkamp,92,84,91,86,90,37,78
Alessandro Nesta,92,72,42,65,67,94,86
Javier Zanetti,92,86,63,88,85,90,81
Alessandro Del Piero,92,83,92,89,92,43,67
Carles Puyol,92,70,45,68,58,94,90
Luis Suárez,92,82,90,79,86,42,81
Neymar,92,92,84,79,94,30,60
Paul Pogba,91,80,85,92,92,72,91
Alexis Sánchez,91,88,88,83,91,42,82
Luka Modrić,91,75,81,89,91,75,68
Gareth Bale,91,96,91,87,89,59,81
Christian Eriksen,91,79,87,93,89,51,68
Mohamed Salah,91,98,92,87,95,55,80
Antoine Griezmann,91,89,89,84,91,35,74
Kevin De Bruyne,91,76,85,90,87,48,76
Eden Hazard,91,90,83,85,93,32,68
Thiago,91,75,81,93,93,65,69
Mats Hummels,91,68,60,80,75,93,82
Toni Kroos,91,51,84,90,83,74,71
Alexis Sánchez,91,89,89,84,91,42,81
Paulo Dybala,91,88,90,87,93,29,71
Sergio Agüero,91,89,91,79,91,26,77
Harry Kane,91,76,93,80,86,46,88
Andrea Pirlo,91,78,80,99,89,73,70
David Silva,91,72,77,92,91,42,66
Gonzalo Higuaín,91,81,89,71,85,26,76
Mohamed Salah,91,98,92,87,95,55,80
Marco van Basten,91,79,92,75,87,40,70
Laurent Blanc,91,79,69,70,78,92,86
Patrick Kluivert,91,86,88,80,83,41,82
Michael Laudrup,91,85,79,90,92,38,64
Lothar Matthäus,91,87,84,86,77,88,82
Gheorghe Hagi,91,83,89,90,90,43,65
Andriy Shevchenko,91,88,92,72,87,34,75
Marcel Desailly,91,83,52,66,67,90,90
Alan Shearer,91,81,93,77,78,52,85
Robert Pirès,91,88,82,88,89,40,64
Patrick Vieira,91,83,80,82,85,90,91
Michael Owen,91,90,89,70,88,34,67
Roberto Carlos,91,92,83,84,81,86,86
Ronaldinho,91,91,86,88,92,36,79
Pelé,91,94,89,88,93,53,73
Diego Maradona,91,93,87,87,94,38,76
Robert Lewandowski,91,81,88,75,86,38,82
Pierre-Emerick Aubame...,90,98,88,80,85,39,73
Zlatan Ibrahimović,90,70,90,86,86,34,85
Wayne Rooney,90,83,90,88,84,62,86
Marco Reus,90,92,90,88,91,44,70
Gareth Bale,90,95,88,85,87,80,79
Antoine Griezmann,90,88,88,82,89,33,72
Edinson Cavani,90,80,88,77,84,45,84
Mohamed Salah,90,97,90,86,94,54,79
Pierre-Emerick Aubame...,90,98,88,80,85,39,73
Dries Mertens,90,93,90,87,93,39,63
Gareth Bale,90,95,89,85,88,58,79
Paul Pogba,90,79,82,91,90,70,90
Harry Kane,90,75,92,79,85,44,86
Christian Eriksen,90,77,85,92,88,49,67
Mats Hummels,90,67,59,78,74,91,79
Alexis Sánchez,90,87,87,83,90,41,79
David Silva,90,70,75,91,90,41,64
Henrik Larsson,90,90,89,76,85,48,73
Alessandro Nesta,90,71,41,62,66,91,85
Marc Overmars,90,95,82,81,89,47,67
Frank Rijkaard,90,77,76,83,80,90,87
Luis Hernández,90,92,88,74,89,48,70
Hernán Crespo,90,89,90,72,89,38,73
Jari Litmanen,90,82,89,84,84,36,64
Dennis Bergkamp,90,85,89,83,88,35,73
Emmanuel Petit,90,77,79,82,78,87,89
Filippo Inzaghi,90,79,91,69,83,36,65
Rui Costa,90,86,81,88,88,44,79
Sergio Agüero,90,88,90,77,90,24,74
Paulo Dybala,90,87,88,86,92,27,69
Alessandro Del Piero,90,85,90,85,92,42,69
Carles Puyol,90,72,45,66,58,92,91
Deco,90,83,79,91,90,51,70
Jay-Jay Okocha,90,87,83,84,94,40,60
Ruud Gullit,90,88,88,88,86,80,87
Rio Ferdinand,90,83,49,67,65,91,86
Ronaldo,90,94,90,77,91,42,72
Thierry Henry,90,90,88,85,87,51,77
Toni Kroos,90,50,81,88,81,73,70
Gonzalo Higuaín,90,79,87,70,83,25,74
Sergio Ramos,90,76,63,71,72,88,83
Eden Hazard,90,90,82,84,92,32,66
Zlatan Ibrahimović,89,66,89,83,85,33,84
Iniesta,89,73,75,91,92,60,61
N'Golo Kanté,89,83,67,80,83,83,85
Mauro Icardi,89,83,91,70,85,32,78
Marco Verratti,89,67,63,90,91,81,71
Mauro Icardi,89,83,91,70,85,32,78
Thiago,89,73,77,88,91,63,65
Thomas Müller,89,81,88,83,83,49,76
Mats Hummels,89,65,58,76,73,90,77
Thiago Silva,89,73,58,75,75,89,81
Paulo Dybala,89,86,86,84,91,25,67
David Silva,89,68,74,88,89,39,62
Arjen Robben,89,87,88,83,91,33,65
Alexis Sánchez,89,86,84,80,89,40,78
Jérôme Boateng,89,76,51,75,69,90,86
Alexis Sánchez,89,86,84,80,89,40,78
Marek Hamšík,89,76,84,87,87,72,73
Zlatan Ibrahimović,89,66,89,85,84,33,83
Mohamed Salah,89,96,89,84,93,53,78
Mesut Özil,89,72,76,89,88,25,60
Antoine Griezmann,89,87,87,80,88,32,70
Paul Pogba,89,77,81,89,88,69,89
Edinson Cavani,89,79,87,75,83,43,83
Dries Mertens,89,92,87,85,92,38,61
Mesut Özil,89,74,76,87,86,24,63
Thiago,89,73,77,88,91,63,65
Harry Kane,89,76,92,78,83,47,86
Christian Eriksen,89,76,82,91,87,48,65
Harry Kane,89,74,91,76,83,43,85
Pierre-Emerick Aubame...,89,97,86,77,83,38,72
Alan Shearer,89,84,90,75,78,48,84
Michael Laudrup,89,82,77,89,90,36,62
Gheorghe Hagi,89,85,87,89,89,40,65
Marco van Basten,89,83,91,72,86,35,76
Laurent Blanc,89,79,68,70,79,90,85
Ronaldinho,89,80,85,88,90,38,77
Kevin De Bruyne,89,75,84,88,85,45,75
Sergio Agüero,89,87,88,75,89,23,72
Gareth Bale,89,94,87,84,86,57,76
Luka Modrić,89,73,75,86,89,72,65
Giorgio Chiellini,89,74,46,56,60,90,85
Alexis Sánchez,89,86,84,80,89,40,78
Naldo,88,74,79,73,70,91,83
Coutinho,88,84,82,89,91,37,67
Isco,88,73,88,87,91,56,66
Edin Džeko,88,68,90,77,82,37,79
